neuron,label,count
878,Pullover,2
1927,Bag,6
1927,Pullover,2
1927,Coat,1
1927,Shirt,1
753,Bag,5
753,Pullover,4
753,Shirt,1
1121,Bag,8
1121,Pullover,2
1962,T-shirt/top,3
1962,Pullover,6
1962,Shirt,1
2212,Trouser,1
2212,Bag,4
2212,Pullover,2
2212,Shirt,1
2212,T-shirt/top,2
2257,Pullover,3
2257,Trouser,1
2257,Bag,4
2257,Dress,2
697,Bag,4
697,Pullover,3
697,Shirt,1
697,Coat,1
697,Trouser,1
1434,Bag,6
1434,Pullover,2
1434,Shirt,1
1434,Coat,1
246,Bag,6
246,Pullover,3
246,T-shirt/top,1
1018,Pullover,3
1018,Bag,6
1018,T-shirt/top,1
147,Bag,5
147,Trouser,1
147,Pullover,4
1735,Bag,4
1735,Pullover,1
1735,Shirt,3
1735,T-shirt/top,2
596,Pullover,2
596,T-shirt/top,5
596,Sandal,1
596,Shirt,1
596,Trouser,1
102,Pullover,6
102,Shirt,2
102,Dress,1
102,Bag,1
941,Bag,3
941,Pullover,4
941,T-shirt/top,1
941,Coat,1
941,Shirt,1
1770,Bag,8
1770,Pullover,1
1770,Coat,1
1591,Bag,6
1591,Pullover,3
1591,Shirt,1
1140,Bag,6
1140,Trouser,1
1140,Pullover,2
1140,T-shirt/top,1
1903,Bag,6
1903,Pullover,3
1903,Shirt,1
1105,T-shirt/top,7
1105,Ankle boot,1
1105,Shirt,2
1946,Bag,4
1946,Shirt,1
1946,Pullover,2
1946,Coat,1
1946,Trouser,1
1946,T-shirt/top,1
2236,Pullover,4
2236,Shirt,1
2236,Bag,4
2236,T-shirt/top,1
2273,Bag,6
2273,Pullover,2
2273,Trouser,1
2273,T-shirt/top,1
32,Bag,4
32,Pullover,4
32,T-shirt/top,1
32,Shirt,1
77,Coat,1
77,Pullover,2
77,Bag,6
77,T-shirt/top,1
1628,Bag,6
1628,T-shirt/top,1
1628,Trouser,1
1628,Pullover,1
1628,Shirt,1
819,Pullover,4
819,Bag,5
819,Shirt,1
1690,Bag,5
1690,Pullover,3
1690,Trouser,1
1690,Shirt,1
1204,Bag,7
1204,Pullover,2
1204,Coat,1
476,Trouser,1
476,Bag,6
476,T-shirt/top,1
476,Pullover,2
2172,Pullover,2
2172,Bag,5
2172,Shirt,1
2172,Coat,1
2172,T-shirt/top,1
1529,Bag,4
1529,Trouser,1
1529,T-shirt/top,4
1529,Shirt,1
1551,Bag,6
1551,Trouser,1
1551,Pullover,1
1551,Shirt,2
323,Pullover,4
323,Shirt,1
323,Coat,1
323,Bag,4
1180,Bag,4
1180,T-shirt/top,2
1180,Pullover,3
1180,Shirt,1
366,Bag,6
366,Trouser,1
366,Pullover,3
861,Coat,1
861,Bag,2
861,Pullover,2
861,T-shirt/top,2
861,Shirt,3
1281,Bag,6
1281,Pullover,2
1281,Shirt,1
1281,Coat,1
824,Bag,6
824,Coat,1
824,Trouser,1
824,Pullover,2
1615,Bag,7
1615,Trouser,1
1615,Pullover,1
1615,Coat,1
286,Coat,1
286,Shirt,3
286,Pullover,1
286,T-shirt/top,4
286,Dress,1
1025,Pullover,5
1025,Shirt,2
1025,Bag,2
1025,T-shirt/top,1
1060,Bag,6
1060,Pullover,3
1060,T-shirt/top,1
2052,Bag,5
2052,Pullover,3
2052,Trouser,1
2052,T-shirt/top,1
187,Bag,8
187,Pullover,1
187,Shirt,1
556,Bag,7
556,Pullover,1
556,Trouser,1
556,Shirt,1
1361,Bag,6
1361,Pullover,3
1361,T-shirt/top,1
981,T-shirt/top,1
981,Bag,6
981,Pullover,2
981,Shirt,1
513,Bag,5
513,Pullover,3
513,Shirt,2
1409,Trouser,1
1409,Bag,6
1409,Shirt,1
1409,Pullover,2
1958,Trouser,1
1958,Pullover,2
1958,Bag,7
769,Bag,4
769,Pullover,3
769,Shirt,2
769,T-shirt/top,1
2191,Bag,6
2191,Pullover,2
2191,Shirt,1
2191,T-shirt/top,1
807,Shirt,2
807,Bag,4
807,Pullover,2
807,T-shirt/top,2
1673,Bag,6
1673,Pullover,3
1673,Shirt,1
468,Bag,6
468,Pullover,2
468,Shirt,2
2290,Bag,6
2290,Shirt,1
2290,Pullover,2
2290,T-shirt/top,1
1537,T-shirt/top,4
1537,Dress,6
345,Bag,6
345,Pullover,3
345,T-shirt/top,1
300,Bag,5
300,Shirt,1
300,T-shirt/top,2
300,Coat,1
300,Dress,1
1342,Pullover,8
1342,Shirt,1
1342,T-shirt/top,1
530,Bag,6
530,T-shirt/top,1
530,Pullover,3
1307,Bag,5
1307,Shirt,1
1307,Pullover,3
1307,T-shirt/top,1
575,Bag,2
575,Trouser,1
575,T-shirt/top,5
575,Shirt,1
575,Dress,1
631,Bag,5
631,T-shirt/top,1
631,Pullover,3
631,Shirt,1
1492,T-shirt/top,6
1492,Shirt,1
1492,Bag,2
1492,Dress,1
674,Shirt,2
674,Bag,5
674,Pullover,3
1006,Coat,1
1006,Bag,5
1006,Pullover,2
1006,Trouser,1
1006,T-shirt/top,1
588,Bag,4
588,Pullover,2
588,Coat,1
588,Shirt,1
588,Trouser,1
588,T-shirt/top,1
159,Bag,4
159,Trouser,1
159,Shirt,1
159,T-shirt/top,1
159,Pullover,3
298,Bag,6
298,Trouser,1
298,Pullover,3
649,Pullover,3
649,Bag,3
649,T-shirt/top,2
649,Dress,1
649,Ankle boot,1
1382,Pullover,2
1382,Bag,6
1382,T-shirt/top,1
1382,Trouser,1
121,Bag,4
121,Shirt,1
121,Pullover,3
121,T-shirt/top,1
121,Coat,1
1753,T-shirt/top,3
1753,Dress,6
1753,Shirt,1
927,Pullover,1
927,Bag,7
927,Shirt,2
164,Pullover,3
164,Bag,7
1716,Coat,1
1716,Bag,4
1716,Shirt,2
1716,Pullover,3
548,Coat,1
548,Pullover,4
548,Bag,4
548,Shirt,1
1452,Pullover,3
1452,Bag,6
1452,T-shirt/top,1
220,Trouser,1
220,Bag,6
220,Pullover,3
